,idiom,title,contents



5,함흥차사,응급실에 들어가면 함흥차사?,"왜 응급실만 들어가면 함흥차사인지, 빨리 진행이 잘 될 줄 알고 응급실을 갔는데 이건 오히려 왜 더 걸리는지 답답하셨던 분들을 위해 응급실의 입원까지의 과정에 대해 간략히 적어보았다. 하지만 이는 일반적인 상황이며 정말 초응급한 상황에서는 모든 것이 정신없이 지나간다. 예를들면..."

9,함흥차사,220704 함흥차사,"""심부름 시킨다고 보냈더니 함흥차사야. 또 오락실로 샜나?"" 이런 느낌이죠. 함흥 가기 전 둘째아들이 얌전?하고 착하기만 한 것이 걱정되.. ""방원 놈이 제 형을 쫓을지도(쫓아낼 지도) 모르니 이건 내가 가지고 가자."" 왕의 상징인 임금 도장 옥새를 주지 않고 이곳까지 가져온 것이다. ""그 놈은 필시..."
10,함흥차사,"함흥차사 RTX 3090ti, 3월 말 드디어 출시?",(출처:엔비디아) 반도체 수급난과 암호화폐 채굴로 그래픽카드(GPU) 대란 후유증이 지속지고 있다. 공급이 부족한 마당에 채굴업자들의 사재기가 기승이다. 애가 타는 건 소비자다. 지포스 RTX 3000번대를 건너뛰겠다는 목소리까지 나오고 있다. 이 가운데 엔비디아 플래그십 RTX...
12,함흥차사,"한국어에 ""삼천포""와 ""함흥차사""가 있듯이, 영어에도 ""Timbuktu""와 ""Alamo"" 가 있다.","한국어에 지명을 이용한 표현이 있는데요, 예를 들면 어떤 일이나 대화가 엉뚱한 방향으로 진행될때 쓰는 ""잘 가다가 삼천포로 빠진다.""는 말이나, 소식이 감감한 경우에 쓰는 ""함흥차사""라는 말이 있지요. 그런데 영어에도 지명을 이용한 표현이 많아요. 오늘은 그중에 아프리카..."
23,함흥차사,함흥차사가 된 사신들,"함흥차사가 된 사신들 올해, 이 정부가 이룬 업적을 살펴보면, 검찰개혁의 기치(旗幟)아래 1월 2일에 법무부 장관에 임명된 ‘추00’씨를 제일전선의... 내 생각으로는 요즘에도 많이 쓰이는 말로서 ‘사라진 후 오래도록 연락(連絡)이 없는 사람’을 일컫는 말로 ‘함흥차사(咸興差使)’가 되겠다는..."
25,함흥차사,"178) 이제나저제나, 함흥차사와 함안차사","01) 이제나저제나, 함흥차사와 함안차사 (심부름 보냈더니... 함흥차사야!) 심부름을 간 사람이 소식이 아주 없거나 회답이 좀처럼 오지 않은 상황을 비유하여 함흥차사(咸興差使)라고 한다. 태조 이성계가 두 차례에 걸친 왕자의 난에 상심하여 왕위를 정종에게 물려주고 서울을 떠나 지금의 함흥..."
34,함흥차사,함흥차사가 된,자세로 하고 힘 빼는 것도 연습하니까 확실히 팔꿈치나 그런 관절에 무리가 덜 가더군요. 역시 운동은 전문가의 코치를 받고 바른 자세로 해야.. 대충 이 정도로 마무리하고 일상 카테고리와 여행 카테고리로 다시 찾아오겠어요.(이러다 4주차도 놓칠까봐 불안한 함흥차사 브로콜리) 바로 잘게요 안녕
35,함흥차사,엔켐 상장일 매도전략(feat. 화장실 함흥차사 탈출),하지만 너무나 자주 그리고 오랫동안 함흥차사가 되어 자리에 나타나지 않으면 월루라는 꼬리표가 따라붙기 마련입니다.(개이득?) 함흥차사는 함흥차사대로 상사와 직장동료의 눈치가 보여서 매도 버튼을 잘못누르기도 하죠. 엔켐 상장일을 대비하여 이러한 불상사를 방지 하고자 자동매매...
36,함흥차사,肉包子打狗 - 함흥차사,"肉包子打狗[ròubāozidǎgǒu] 함흥차사, 되찾을 수 없다, 고기만두를 개에게 던져주듯 한번 가면 다시 돌아오지 않는다 你竟然借钱给那种家伙，真是肉包子打狗。 너 결국 저따위 자식에게 돈을 꿔주었으니 그냥 날린 거나 진배없다. 的确，谁都不愿做肉包子打狗有去无回的傻事。 물론 그..."
37,함흥차사,[일을탐하다] 함흥차사였던 카카오 블루 T,"함흥차사, 카카오 T 블루 글( https://blog.naver.com/hfeel/222429367471 )을 쓴 다음날 아침 고객센터로 직접 문의했다. 챗봇 상담사 신디가 나를 응대해 줬다. 상담은 5분도 걸리지 않았고, 배차 취소 수수료는 환불받았다. 이 일을 5일 동안 묵혀둔 까닭은 답변으로 들을 수 없었다. 시스템 오류였을까..."
38,함흥차사,[일본어] 관용구 ㅣ 함흥차사,"우리 사자성어 중 함흥차사와 동일한 표현 <오늘의 대화> A : 당신, 애들 데리러 간 거 아니야? 늦었잖아. B : 미안. 애들이 조금만 더 놀고 싶다고 해서 기다리는 동안 (노는 모습을)보고 있는 게 즐거워서. A : 함흥차사였네. 모처럼 맛있는 요리 만들어서 기다렸는데 식어서 맛이 없잖아. <단어> 遅い..."
41,함흥차사,함흥차사(咸興差使),이 사람이 가더니 함흥차사네... 라는 말을 종종 쓰지요.^^ 아이들하고 있을 때도 아이한테 뭘 시켰는데도 빠릿빠릿 하지 않고 한참 뒤에 나타나면 어째 보내놨더니 너는 함흥차사냐... 처럼 써주면 좋을 것 같아요. 제 수업에서 종종 하는 말입니다만 어려운 고사성어를 나중에 한꺼번에 일주일에...
42,함흥차사,함흥차사 -CJ택배를 두고 하는말,"근데 그 k-택배에 문제가 생겼다 함흥차사란 말이 있다 '조선 초 태조 이성계를 모시러 함흥에 갔다 돌아오지 않은 사신을 가리키는 말로, 심부름을 간 사람이 소식이 아주 없거나 또는 회답이 좀처럼 오지 않음을 비유하는 말이다' 지금 내가 시킨 택배가 그래... 어이가 없네..? 러닝할때나..."
45,함흥차사,국민체육센터 재개장 언제? 함흥차사에 구민은 답답,동구 용운동에 거주하는 이모씨(28)는 “코로나 이전에 한주에 몇 번은 국민체육센터에 가서 수영과 헬스를 즐겼다”면서 “접종센터로 활용되고 난지 4개월이 지났는데도 아직 함흥차사다”고 토로했다. - 기사 더보기는 아래 클릭
49,함흥차사,닉네임 함흥차사로 바꿔야할듯 (+시세이도 패밀리세일),함흥차사입니다. 뭐? 일주일에 두 번을 와? 블로그 출석도장은 커녕 개강한지 나흘 된 수업 중 이틀을 빼먹었습니다 학생이란 새끼가 뭐하는 걸까요? 저도 기가 찹니다 (수두룩) 그와중에 저도 시세이도 팸셀에 참전했으므로.. 생존신고 겸 왔다는 사실 ^-^ 전 돌가 케이스 꽤 맘에 들거든요. 특히 저...
50,함흥차사,함흥차사 물티슈. 감감무소식 물티슈,이럴 때 어울리는 말 함흥차사. 감감무소식. 지마켓 들어가서 문의글을 보니 주문취소요청글에 언제 배송되냐 아우성. 나만 안받은게 아니구나 ㅎㅎ 3월 2일부터 순차배송이란다. 어제 오후 1시에 배송시작ㅠㅠ 도대체 언제 받을수 있단 말인가. 이런 거 보면 사건사고에 노동착취 등 이슈가...
51,함흥차사,올리브영 함흥차사,내 로션 언제 오나요 2주가 넘도록 안오네 (대한통운) 피부가 너무 땡긴닼ㅋㅋㅋㅋㅋ 신정동 #아덴블랑제리 경주 아덴은 가봤는데 그 체인 맞죠..? 밀려올 배고픔 대비 #크로아상샌드위치 #크로피 크로플+커피 테이크아웃 2500원...! 요거요거 괜찮네 미니크로플도 진짜 바삭하고 맛있었다 찬물로...
55,함흥차사,2021.09.23 EMS가 함흥차사(咸興差使),EMS는 일본에서 (国際スピード郵便) 국제 스피드 우편으로 취급하며 제일 빠른 속도를 특징으로 인식하고있는데 회사에 육아휴직으로 제출해야 서류의 원본이 아직 도착을 안했다. 14일에 와이프가 붙였는데 말이다. 더구나 우편추적 이력을 보면 더 가관이다. 이해 할수없는 내용~ 14일 하루만에...
59,함흥차사,함흥차사,함흥차사 오늘은 하루종일 화단정리를 했어요. 늘어진나무 가지치기도 하고 그리고 겨우내 덮고 있는 나뭇잎이불도 거더내고... 햇님은 벌써 잠자러 갈 준비를 하고 요즘인부를 사서 목장 보수 공사를 하고 있어요 그래서 인부들 품삸을 입금시켜 주러간 우리집 이봐요님 함흥차사네요 은행에 가서...
60,함흥차사,함흥차사의 뜻 - 깜깜무소식 <함흥차사와 이성계>,함흥차사의 유래와 뜻 함흥차사라는 말을 많이 들어보셨을 텐데요 함흥차사보다는 함흥냉면을 더 많이 들어보신 분들도 계실 것 같습니다. 함흥차사라는 말이 왜 생겨난 것일까요? 함흥차사를 설명하기 전에 먼저 일어났던 일들을 하나씩 살펴보면 고려 말 이성계와 정도전은 서로 힘을 합해 새로운...
64,함흥차사,○ 咸興差使(함흥차사),○ 咸興差使(함흥차사) 함흥咸興으로 파견된 차사差使. 심부름을 가서 아무 소식이 없이 돌아오지 않거나 늦게 오는 사람을 비유적으로 이르는 말. 芳碩變後 太祖棄位 奔于咸興 太宗屢遣中使問安 太祖輒彎弓而待之 前後相望之使 未敢道達其情 時問安使 無一得還者 太宗問群臣 誰可遣 莫有應之者...
65,함흥차사,함흥차사,"나가면 함흥차사인 아느님, 누구를 닮았나 했더니 날 꼭 닮았습니다.ㅎ 다 내가 뿌린 씨앗을 거두는 거지요. 자꾸 잊어버리고 살다가 그것을 알아차릴 때마다 부모님께 전화를 드립니다. “(어머니) 요새도 운전하나?” “(나) 네. 해야지요. 한결이 공부시키려면 다른 수가 없네요.” “(어머니) 먹고..."
67,함흥차사,"캄보디아 선교, 함흥차사 초청장",서류는 벌써 준비가 되었는데 아직 초청장이 함흥차사(咸興差使) 초청장이 아직 도착하지 않고 있다. 원래대로라면 벌써 두 번은 도착할 시간인데 말이다. 아무리 중간에 프춤번(캄보디아 추석) 연휴가 있었다손 치더라도 어제(10월 17일) 쯤은 씨엠립에 와야 이야기가 되는데 말이다. 한국에서 10월...
70,마부작침,초심불망 마부작침,'초심불망 마부작침' 초심불망 마부작침 뜻은 초심을 잃지 않고 도끼로 바늘을 만든다 매일 조금씩 한다는 것이 쉽지 않지만 이게 사실 가장 어렵고 어떻게 보면 전부인 것 같아요. 무언가 정형화되어 있지 않은 것을 꾸준히 성실하게 갈고닦아 날카롭게 핵심을 찌르는 것이 쉽지 않지만 작은...
75,마부작침,후천적 금수저 - 마부작침(磨斧作針),이때 매일 생각하던 사자성어가 있었는데요 마부작침(磨斧作針)입니다. 도끼를 갈아서 바늘을 만든다는 뜻입니다. 도끼를 갈아서 바늘을 만들려면 얼마나 노력을 해야 할까요? 시간이 걸려서 그렇지 결국은 바늘을 만들 수 있겠지요 그렇게 마음을 바꿨습니다. 신항만에 부두에 필요한 자격증이란...
76,마부작침,초심불망 마부작침,"블챌 첫 달 마 지 막 주간일기~ 현진이에게서 퍼 온 ""초심불망 마부작침"" 초심을 잊지 말고 쇠도끼를 갈아 바늘을 만든다. 힘들 때 포기하지 않고 부단히 노력하면 끝내 좋은 결과를 얻을 수 있다는 평범한 진리. 로 시작- GABOZAGO 0627 월 이번주는 그래두..재혁이가 있어서 행복했더 원래 만나서..."
77,마부작침,초심불망 마부작침(初心不忘 磨斧作針) 이 말만 새겨도 인생이 달라져요,재치가 빛나기고 하지만 이 자리에서 나온 말이 고사성어 ‘초심불망 마부작침(初心不忘 磨斧作針)이었습니다. 혹시 이 뜻을 하세요. 요즘세대는... 그래서 오늘은 고사성어 ‘초심불망 마부작침(初心不忘 磨斧作針)에 관해서 알아보려 합니다. 단체장이 던진 한마디 초심불망 마부작침(初心不忘...
78,마부작침,마부작침 - 대통령이 되겠다는 윤석열 최재형에게 묻다,"마부작침 - 도끼를 갈아 바늘을 만드는 것이 불가능한 것은 아니다. 수년, 수십년을 갈고 닦으면 도끼를 바늘로 만들 수 있다. 그러나 도끼를 바늘로 만든 행위가 의미있으려면 도끼보다 바늘이 더 쓰임새가 많거나 가치로운 일을 하는데 쓰일 때만이다. 마부작침, 이라는 사자성어가 있다. 사자성어를..."
79,마부작침,"20대 대선 후, 정치권에 마부작침(磨斧作針)을 주문한다 : 정치권의 협치와 합치가...","제20대 대통령이 누가 되든 불문하고 정치권에서 머리를 모으고 한반도 내에서의 지정학적 리스크를 해소함과 더불어 국제사회 속에서 좀 더 높은 위치에 다가갈 수 있도록 마부작침(磨斧作針) 즉, 도끼를 갈아 바늘을 만든다란 마음으로 정치권의 협치와 합치가 이루어질 수 있도록 최선의..."
81,마부작침,마부작침,"♤마부작침♤磨斧作針 아무리 어려운 일이라도, 참고 계속하면 반드시 성공한다. ''중도에 그만두지 않는다'' - 결과를 만들어 내는 노력 - 어느 날 화가의 친한 친구가 그를 찾아왔습니다. 친구는 다짜고짜 수탉 그림을 그려달라는 부탁을 하는 것이었습니다. 수탉을 그려본 적이 없는 화가는..."
82,마부작침,"BTS 뷔,미국 품절대란 일으킨 화장품 립밤의 마부작침",참 인생사 ...^^ 마부작침 이번에 들린 아이소이 립밤이 뷔로 인해 품절대란 된 기사보면서 '마부작침' 사자성어가 떠올랐어요. 의미는 도끼를 갈아 바늘을 만든다는 말이에요. 도끼가 바늘이 되도록 얼마나 열심히 일했을까요? 그리고 얼마나 어려웠을까요? 아이소이 화장품은 처음에 사용자...
83,마부작침,마부작침(磨斧作針),"내가 좋아하는 사자성어 중에 마부작침(磨斧作針)이라는 말이 있다. 갈 마(磨), 도끼 부(斧), 지을 작(作), 바늘 침(針). 도끼를 갈아 바늘을 만든다는... 그러니까 마부작침은 아무리 힘들고 불가능하게 보이는 일일지라도 끈기 있게 하면 못 할 일도 없다는 비유로 많이 쓰이는 말이다. 임인년 새해가..."
84,마부작침,마부작침-도끼를 갈아 침을 만든다,"오늘은 한 고사성어를 보고 생각하게 되는 점이 많아서 '마부작침'이라는 고사성어에 대해서 말씀드리고자 합니다. 갈 마(摩) 도끼 부(斧) 지을 작... 이후 마음이 해이해질 때마다 그 할머니가 말한 말을 다시금 새겨, 학문에 대한 열의를 다졌다는 내용의 사자 성어가 바로 마부작침입니다. 하나를..."
85,마부작침,마부작침 노력 하라,마부작침에서 마는 간다는 의미이고 부는 도끼부이며 작은 만든다는 뜻이고 침은 바늘을 의미합니다. 즉 도끼를 갈아 바늘을 만든다는 의미로... 마부작침은 어떤 일을 하는데 적합한 도구를 선택한다는 의미도 있습니다. 경우에 따라 도끼가 적합할 때도 있으나 헤진 옷을 고치는 데는 바늘이 더...
86,마부작침,마부작침,마부작침 ※마부작침(磨斧作針)=뭉툭한 도끼도 계속 갈면 마침내 바늘이 된다. 쉼 없는 단련이 강자를 만든다. 고난이 없으면 성공도 없다. 꿈을 이루려면 땀을 흘려야 한다. 반복은 기적을 일구는 힘이다. 무슨 일이든지 오래 되풀이하다보면 그 일이 몸에 붙어 익숙해진다. 그러면 누구와 겨뤄도...
88,마부작침,도끼를 갈아 바늘을 만든다. <마부작침>그 뜻과 인생의 지침..,마부작침 : 도끼를 갈아 바늘을 만든다. 도끼를 갈아 바늘이 되려면 모르긴 몰라도 인생을 통째로 걸어야 할만한 노력이 뒤따라 주어야 하지 않을까. 어마어마한 말이다. 이 문자 하나에 엄청난 무게감이 느껴진다. 고됨과 고난의 시간들이 눈앞에 있는듯한 말 마부작침. 마부작침 뜻 : 아무리 어려운...
89,마부작침,안산 금메달 양궁3관왕 기적의한발 마부작침 DreamHelper박대호,磨斧作針 마부작침 도끼를 갈아 바늘을 만든다! 도끼를 바늘로 만든다는 것은 어떻게보면 어리석게 보일수도 있지만 자신을 수련하고 끈질기게... 마부작침 지금 당신의 도끼는 어떤 바늘이 되어가고 있습니까? #양궁금메달 #안산 #양궁3관왕 #한국금메달효자종목 #도쿄올림픽 #도쿄양궁...
90,마부작침,도끼를 갈아 바늘을 만들다.(마부작침),목적이 있는 한발 한발 나아감이 마부작침 도끼를 갈아 바늘을 만들다. 아무리 어려운 일이라도 열심히 노력한다면 이룰 수 있다는 뜻 나에겐 그 어떤 비법보다 필요한건 행동이다. 성공한 사람과 실패한 사람의 사이에는 행동으로 옮길 수 있는 능력이 있느냐 없느냐의 차이 밖에는 없다. -알렉산더...
91,마부작침,초심불망 마부작침(初心不忘 磨斧作針) 나는 지금 어디에 있나,초심불망 마부작침(初心不忘 磨斧作針) 나는 지금 어디에 있나. 주말이지만 해야 할 것들 해야 되는 막쓴 오늘도 인사드립니다 :) 안녕하세요... 초심불망 마부작침(初心不忘 磨斧作針) 처음 먹은 마음을 잊지 않고 도끼를 갈게 되면 결국엔 바늘을 만들어 낸다는 뜻입니다. 유래는 당나라의 뛰어난...
92,마부작침,초심불망 마부작침 _초심을 잃지 말자! - 정문기 교육인,"초심에 대한 저의 생각과 일상 이야기 '초심불망 마부작침'의 의미와 유래에 대해 포스팅해 보려고 해요. 어제 새벽 늦게까지 18회차 비대면 교안을... 정강사 ""초심을 잃지 말자!"" 초심불망 마부작침 '초심을 잃지 않고 도끼를 강아 바늘을 만든다!' 는 뜻입니다. 이 뜻에 일화가 있습니다. 당나라..."
93,마부작침,매일 하는 일 - 【마부작침】 같은 마음으로,"매일 하는 나의 꾸준한 일에 대해 이야기해 주세요~ 마부작침(磨斧作針) “도끼를 갈아 바늘을 만든다는 뜻으로, 아무리 어려운 일이라도 끈기 있게 노력(努力) 하면 이룰 수 있음을 비유” 내가 좋아하는 한자 숙어 중 "" 마부작침""이라는 말을 좋아한다. 예전에 이런 말들이 나와는 거리가..."
94,마부작침,"다시 쓴 초심불망 마부작침, 먹과 종이의 조화~",남편이 먹색과 글씨의 완성도가 떨어진다고 퇴짜를 놔서 다시 쓴 초심불망 마부작침. 만수무강 먹을 기계로 갈아썼더니 번짐이 이상해서 제가 주로 쓰는 연습먹인 만고심으로 썼더니 더 낫네요. 비싸다고 다 좋은건 아니예요~ㅎ 이상하게 작품먹을 기계로 갈아쓰면 이런일이 생기는데 벼루의 문제인...
95,마부작침,"끈기로 한자사전 씹어먹기 도전, 마부작침 磨斧作針,오늘의 한 단어, 고사성어 필사 1",마부작침 끈기로 한자사전 씹어 먹기 프로젝트 끈기와 한자가 맞짱 뜨면 누가 이길까 궁금해졌습니다. 磨斧作針(마부작침)의 심정으로 한바탕 신나게 한자와 놀아보겠습니다. 먼저 끈기로 한자사전 씹어먹기에 도전을 선언합니다. 오늘의 한 단어 끈기 磨斧作針 마부작침 磨 갈 마 斧 도끼 부 作...
96,마부작침,<고사성어> 196. 磨斧作針(마부작침)_끝내 이루리라....,"磨斧作針(마부작침) 世傳(세전), 李太白讀書山中(이태백독서산중), 未成棄去(미성기거), 過是溪(과시계), 逢老媼方磨鐵杵(봉노온방마철저), 問之... <磨鐵杵(마철저)> 또는 <磨斧作針(마부작침)>이 유래되는 문장이다. 직역하면 '철로된 공이(또는 도끼)를 갈아 바늘을 만든다' 인데 이는 '아무리 어려운..."
97,마부작침,마부작침,"바늘을 만들 수 있다는 처음 마음, 초심만 잃지 않는다면, 반드시 바늘을 얻을 수 있다. 그만큼 초심이 필요하다. 이를 한자성어로 “초심불망 마부작침” (初心不忘 磨斧作針)이라 한다. 우리가 살아가는 동안, 잊지 말고 평생 실천해야 할 덕목(德目)이다. 하기 싫어도 해 봐야지 그게 삶이니까 !!!"
98,마부작침,磨斧作針 마부작침｜6월 3주차,"[22.06.20~22.06.26] 磨斧作針 마부작침: 도끼를 갈아 바늘을 만든다. : 아무리 어려운 일이라도열심히 노력하면 이룰 수 있다. 최애 웹툰 중 하나인 ""Frenemy""에서 나왔던 인물들의 대화가 인상깊었다. * 사람은 누구나 예상치 못한 위기를맞닥뜨렸을 때 감정은 불안해지고머리는혼란스러워져..."
99,마부작침,마부작침 - 배움(공부)에 인색한 뇌를 변화시키자!,"안녕하세요~ 일상의 작은 성장을 함께 나누고픈 요우메이 입니다. 책을 읽고, 배우고, 공부하는 것 이것은 개인을 성장시켜 주고 세상을 깊이 볼 수 있게 해주고 아는 만큼 보이게 하는 힘을 줍니다. 모두가 이 사실을 알긴 알지만 왜 즐기고 노는 것은 쉬운데 공부하는 것은 왜 그리 버겁고 부단한..."
100,마부작침,마부작침 (磨斧作針),마부작침은 도끼를 갈아 바늘을 만든다 라는 뜻으로 아무리 어려운일도 끈기있게 노력하면 이룰 수 있음을 비유하는 말 입니다. 자기개발 관련... #마부작침 #노력 #끈기 투자를 하다보면 오늘처럼 큰 폭 하락하거나 오랜시간 수익이 나지 않을때마다 포기할까 라는 생각을 많이 합니다. 특히...
101,마부작침,우공이산 마부작침,아무거나 가져다 붙이면 되나? 5톤의 흙 시작은 미약 했으나 그 끝은 창대하리라 이 많은 흙을 어디로 옮길까요? 여차여차 해서 선주지동에 흙부자가 됐다. 흙 ! 흑~ '봄 비가 유난히 많이 오던 해 였지~' 하고 기억 되라고 비가 정말 자주 올 때 하우스 바닥이 물이 찰랑 대는 줄 알면서 지붕을...
102,마부작침,도끼를 갈아서 바늘을 만든다 : 마부작침磨斧作針,"도끼를 갈아서 바늘을 만든다 : 마부작침磨斧作針 마부작침! 이는 도끼를 갈아서 바늘을 만든다는 뜻이다. 아무리 어려운 일이라도 참고 계속하면 언젠가는 성공한다는 의미를 담고 있다. 시선(詩仙)으로 불리는 당나라 시인 이백(李白, 자는 태백太白) 이 어렸을 때 이야기다. 이백은 아버지의 임지인..."
103,마부작침,마부작침,磨斧作針(마부작침) 磨 갈 마 斧 도끼 부 作 지을 작 針 바늘 침 도끼를 갈아 바늘을 만든다는 뜻 도끼를 갈아 바늘을 만들기 위해서는 엄청난 노력이 필요합니다. 이는 아무리 어려운 일이라도 참고 계속하면 이룰 수 있다는 뜻입니다. 끊임없이 노력하면 목적을 달성할 수 있습니다.
104,마부작침,마부작침과 현타,"© sigmund, 출처 Unsplash 마부작침 이라는 말 좋아한다. 무엇이든 꾸준이 해내지 못하는 성향 탓이리라. 그러나 나 뿐은 아닌듯 하다. 성향과 상관 없이 쉬운 일은 아니라 생각 한다. 무엇가를 시작해서 그 끝을 본다는게 다행이 그끝을 본다고 해도 나의 생각과는 다른 방향으로 가는 경우 어디로가든..."
105,마부작침,초심불망 마부작침”(初心不忘 磨斧作針),"초심불망 마부작침”(初心不忘 磨斧作針) 1월이 추운 겨울이었다면, 2월은 따스한 봄기운이 기대되는 달이다. 2월은, 입춘(立春. 3일/수), 설날(12일... 이를 한자성어로 “초심불망 마부작침” (初心不忘 磨斧作針)이라 한다. 우리가 살아가는 동안, 잊지 말고 평생 실천해야 할 덕목(德目)이다...."
106,마부작침,고전산책★마부작침(磨斧作針),"*마부작침(磨斧作針) 마부작침(磨斧作針)은 도끼를 갈아서 바늘을 만든다는 뜻으로 아무리 어려운 일이라도 참고 노력하면 언젠가는 반드시 성공한다는 것을 비유하는 말입니다. 끈기있게 학문이나 일에 정진하는 것을 비유할 때도 쓰입니다. 철저성침(鐵杵成針, 쇠공이로 바늘을 이룸), 마저작침..."
107,마부작침,"마부작침, 우공이산을 생각하며 의자 만들기.","일단 우공이산,마부작침을 생각해야 한다. 디자인이나 가공이나 손이 많이 가야하는 데, 일단은 엔진 톱과 강력 그라인더가 없다. 아내의 말?... 솔직히 별 감정은 없는데~~(?) 다시 아내 의자 만들기에 들어 갑니다. 천천히~~ 우공이산, 마부작침, 태산이 높다 하되 하늘 아래 뫼이로다~ 읊조리며."
