,idiom,title,contents
108,마부작침,"마부작침, 노력의 끝판왕!","실제로 깊은 학습을 해야하는 대학생 이상도, 직장인도 마찬가지다, 데일리 양식지 원리를 적용해서 꾸준한 학습습관을 형성할 필요가 있다. #돈오점수 #마부작침 #비바앤포포 #청소년리더십 #청소년자기주도학습 #한책의사람 #캠퍼스선교사 #서울성일중학교"


111,마부작침,마부작침,"磨斧作針_마부작침 [도끼를 갈아 바늘을 만든다] 는 뜻으로, 아무리 어려운 일이라도 끈기 있게 노력하면 이룰 수 있음을 비유 하는 말. 날선 도끼를 그려보았습니다 #월광계측자 #민물낚시 #붕어낚시 #붕어계측자 #계측자 #월광 #월광서귀덕 #5짜붕어 #마부작침 #전기인두작품"

113,마부작침,磨斧作針(마부작침),磨斧作針(마부작침) < 도끼를 갈아 바늘을 만든다 > 도끼를 작은 바늘이 될때까지 간다는 것은 어려운 일이라도 끈기 있게 노력하면 목표를 이룰 수 있다는 뜻. 저 역시 타운하우스 부지를 매입함에 있어 정말 안될 것 같았던 일들도 포기를 하지 않고 죽을 각오로 노력을 한 결과 소유권이전을 완료한...


116,마부작침,마부작침(磨斧作針),"마부작침(磨斧作針) 도끼를 갈아서 바늘을 만든다는 뜻으로 아무리 어려운 일이라도 참고 계속하면 언젠가는 반드시 이룰 수 있다. 시선(詩仙)으로... 도끼를 갈아 바늘을 만든다는 뜻의 ‘마부작침(磨斧作針)’, 쇠로 된 공이를 갈아 바늘을 만든다는 뜻의 ‘철저마침(鐵杵磨針)’이라고도 한다...."

118,마부작침,마부작침과 우공이산,이것도 위의 마부작침과 같은 교훈이다. 난 이것도 이해가 안 된다. 집을 옮기는 것이 죽을 고생해 산을 옮기는 것보단 나을 것 같다. 이것과도 비교할 수 있다. 요즘 쓰레기 문제가 아주아주 심각하다. 그 할아버지 라면 쓰레기를 어떻게 치울까? 일일이 주울 것이다. 그런 것보다 기계 같을 것을 쓰는...
119,마부작침,마부작침(磨斧作針)/꿈꾸는 카사비앙카ㆍ상처를 주는 건 순간이지만 그 상처가 아무는...,"https://youtu.be/-7DKoMQgv-E * 좋아하는사자성어 : 마부작침 (磨斧作針) 도끼를 갈아서 바늘을 만든다는 뜻. 곧, ① 아무리 어려운 일이라도 참고 계속하면 언젠가는 반드시 성공함의 비유. ② 노력을 거듭해서 목적을 달성함의 비유. ③ 끈기 있게 학문이나 일에 힘씀의 비유. 그림은..."


122,마부작침,방세환의 사자성어 마부작침,"방세환과 함께하는 사자성어. 마부작침 磨斧作針 도끼를 갈아 바늘을 만든다, 어려운 일이라도 끈기 있게 勞力하면 이룸."
123,마부작침,○안자지어/안어양양/근주자적/근묵자흑/마부작침,"주위환경이 중요하다는 것을 이르는 말 @근묵자흑 : 近 가까울 근, 墨 먹 묵, 者 사람 자, 黑 검을 흑검은 먹을 가까이 하면 검어진다는 뜻. 근주자적과 같은 말 @마부작침 : 磨 갈 마, 斧 도끼 부, 作 지을 작, 鍼 침 침도끼를 갈아 바늘을 만듦. 아무리 어려운 일이라도 끈기 있게 노력하면 이룰 수 있음."

125,마부작침,마부작침... 그 약속을 지키다.,"마부작침 「도끼를 갈아 바늘을 만든다.」 는 뜻으로, 아무리 어려운 일이라도 끈기 있게 노력(努力)하면 이룰 수 있음을 비유(比喩ㆍ譬喩)하는 말. 네이버 한자사전 김정현 배우님은 내 편지를 읽고 '마부작침'이란 말을 덧붙여 주셨다. 나는 그 말이 마치 답장처럼 느껴졌다. 그래서 그렇게..."
126,마부작침,고사성어 마부작침 한자 예문 유래,"고사성어 마부작침은 도끼를 갈아서 바늘을 만든다는 말로, 아무리 어려운 일이라도 인내 하며 계속 노력하면 반드시 성공할 수 있다는 뜻입니다. 즉 비록 불가능해 보이지만 꾸준히 노력하면 마침내 뜻을 이룰 수 있다는 의미입니다. <마부작침 한자> 마부작침은 당서에 전해오는데, 한자는..."


130,마부작침,磨斧作針(마부작침) <과천문화신문>,<磨斧作針(마부작침)> - 도끼를 갈아 바늘을 만들다. 늦은 시간까지 강의가 이어지는 경우가 있다. 낮에 여유 시간이 많지 않은 성인들과의 강의가... 磨斧作針(마부작침)이란 말이 있다. ‘두꺼운 도끼날을 끊임없이 갈아서 예리한 바늘로 만듦.’이란 말이니 ‘아무리 어려운 일이라도 최선을 다해...
131,마부작침,"신천지 이만희 총회장님 정신 ""마부작침""",신천지 이만희 총회장님 정신 마부작침 어둠에 잠자는 심령을 빛이신 생명의 말씀으로 깨우고 인도하시는 신천지 이만희 총회장님 마부작침 하나님을 향한 정신은 세상 그 누구도 따라올 자가 없지요 신천지 이만희 총회장님께서는 오늘도 이 땅에 하나님 나라 천국 이루기 위해 핍박과 고난...

133,마부작침,마부작침( 磨斧作針),"성공을 위해 마부작침( 磨斧作針) 수적석천(水滴石穿) 우공이산(愚公移山) 1만 시간의 법칙이 있다. 도끼를 갈아 바늘을 만든다. 물방울이 바위를 뚫는다는 말이 있지만, 사람이 아무리 노력해도 안 되는 일도 있다. 연애와 정치는 타이밍이 맞아야 한다고 하지만 병력 문제를 감안 못 해 실패했다...."
134,마부작침,(고사성어묵상) 마부작침,摩 斧 作 針.(마부작침). 도끼를갈아서 바늘을 만든다는 뜻으로 아무리 어려운 일이라도 참고 계속하면 언제인가는 꼭..성공함을 비유한고사임 고... 스피노자같은 사람들이 꼭 필요한사회가 아닌가합니다 뜻이있는곳에 길이있다했으니 우리모두 마부작침합시다 홧팅 2011.8.14.(글쓴이.내고향.포구.眞...
135,마부작침,마부작침,"지난날을 그리워하지 않고 다가오지 않은 미래에 대해서도 그다지 염두에 두지 않는 지극히 현실주의자인데, 오늘 새벽에는 잠에서 깨며 ""마부작침""이라는 단어가 떠올랐습니다. 도끼를 갈아 바늘을 만든다. 10년이면 강산이 변한다는데, 앞으로 10년 동안 뭔가를 꾸준히 한다면 한 가지쯤은 이루지..."

140,독서망양,장자의【독서망양】과 알랭 드 보통의 『불안』,"독서망양 讀書亡羊 『장자』, 〈변무〉 ‘독서망양(讀書亡羊)’이란 사자성어는 『장자』의 변무에 나오는 이야기에 기원을 둡니다. 책을 읽다가 ‘양’을 잃었다는 뜻으로 다른 일에 정신이 팔려 중요한 일을 소홀히 할 때 쓰는 말로 알려져 있습니다. 또한 큰일을 하다 다른 일을 잊는다는..."
141,독서망양,[고전에서 보는 투자] 투자는 결과가 중요. 장자의 독서망양,"(騈拇篇)의 ‘독서망양(讀書亡羊) 글을 읽은 것은 장려되는 일이고, 주사위놀이는 부정적으로 인식되는 일일 것이다. 하지만 손해를 본 것은 마찬가지다. 투자에 비유를 하자면, 도박같이 투자를 하든, 수백권의 책을 읽고 가치투자를 하든간에, 돈을 잃었으면 마찬가지다. (장자의 독서망양을 투자에..."



145,독서망양,[고사성어] 9월 2일-독서망양,"독서망양 讀書亡羊 책을 읽느라 치던 양을 잃어버림 다른 일에 정신을 팔다가 중요한 일을 놓침 또는 원인이야 어떻든 잘못은 잘못이라는 뜻 (독서하다 양을 잃어버린 장, 노름하다 양을 잃어버린 곡의 이야기) - 사소한 일에 빠져 중요한 것을 놓쳐 낭패를 당하는 경우 cf) 다기망양(多岐亡羊) : 여러..."
146,독서망양,독서망양(讀書亡羊),여기서 독서망양이 한눈을 팔다가 자기본분을 잊는다는 뜻이 되는 것이다. 아직도 독서망양은 큰 일을 하다가 다른 일을 잊는다는 뜻으로도 쓰이고 있다. 그러나 이 편에서 장자가 정말 하고 싶은 이야기는 이것이 아니다. 그는 좋은 일을 하다가 양을 잃었건 나쁜 일을 하다가 양을 잃었건 그 결과는...
147,독서망양,[892] 오늘 사자성어 독서망양(讀書亡羊)의 뜻은?,"독서망양(讀書亡羊) 讀(읽을 독), 書(글 서), 亡(잃을 망), 羊(양 양) 책을 읽다가 양을 잃었다는 뜻. 다른 일에 정신을 팔다가 중요한 일을 소흘히 한다는 말. #오늘사자성어 #사자성어 #고사성어 #한자성어 #글그림 #독서망양 #다기망양"

149,독서망양,독서망양 글을 읽다가 양을 잃어버리다,"#독서망양 글을 읽다가 양을 잃어버리다. 다른 일에 정신을 빼앗겨 본래의 일을 소홀히 하는 것을 가리킨다. 출전은 장자 변무편 하인과 하녀 두... 독서망양은 마음이 딴 데 가 있어 근본적인 이치를 생각지 않는다는 뜻으로도 쓰인다. 풀이 - 읽을 독, 글 서, 없앨 망, 양 양"
150,독서망양,"군자(君子)의 눌언민행, 개권유익 vs 범재(凡材)의 도비순설, 독서망양",쓸 비 佛 : 근심에 기대 나온 사람 : 부처 불 辰 : 별 진 + 月 : 달 월 = 입술 순 君子란.. 開卷有益 : 개권유익 열 / 문서 / ~ / 더할 책을 열면 이로움이 있다. 卷(券) : 문서(책) 凡材는.. 讀書亡羊 : 독서망양 읽을 / 글 / 잃어버릴 / 양 글을 읽다 양을 잃어버린다.-> 다른 일에 정신이 팔려 중요한 일을 놓치다.

160,독서망양,독서망양,봄 새벽 덧창을 여니 총총한 별이 손흔든다 속창을 여니 맑은 바람이 노래한다 새 아침이야~~ 굳은 팔 다리를 흔들어 인사 하고 책을 편다 莊子 변무 편의 망양 (亡羊) 후한시대 고봉의 표맥 (漂麥)... 생계의 가장 큰 자산이다 책에 빠져 멈춘 시간 충~~분 하다


164,독서망양,쏘가리낚시 - 독서망양(讀書亡洋),오늘 낚시는 좀 편하게 하고자 채비 선택에 있어 좀처럼 갈피를 잡지못하고 오락가락 정말 마음에 들지 않는 낚시를 하며 반성하고 돌아왔다. 집에 돌아와 오늘 낚시에 대해 곱씹어본다. #금빛 #쏘가리 #쏘가리낚시 #봄쏘가리 #팜스시르퍼 #뉴시르퍼56L #독서망양 #일을그르치다 #난아직초보 #반성중
165,독서망양,독서망양(讀書亡羊),"이런 관점에서 독서망양이 ‘한눈을 팔다가 자기 본분을 잊는다는 뜻’으로 사용되기도 한다. 그러나 결국 장자는 군자니 소인이니 하는 것에 차별을 두지 않았기에, 전자의 뜻이 진정한 의미로 받아들여진다. ** 안성두-도쟁이 & 슬미 홈 **"
166,독서망양,讀書亡羊 독서망양,讀 書 亡 羊(독서망양) 읽을 독 글 서 망할 망 양 양 뜻: 글을 읽다가 양을 잃었다는 말로 마음이 다른곳에 쏠림을 의미한다 예시: 아무리 쉬운 문제라도 집중해서 풀지 않으면 실수로 틀리는 독서망양의 결과를 가져온다.


170,독서망양,[좋은글] 독서망양 : 책에 빠져 양을 잃다. 정민 (일침),"정민, 일침, P113, [장자, 번무편, 독서망양] 독서는 내 안에 차곡차곡 쌓이는 것이 있지마, 노름을 하면 돈과 명예가 흔적 없이 사라져 버린다. 큰... 인생의 목표부터, 오늘의 목표까지..... 끊임 없이 고민한다. 행복하자..!! 가장 위에 있지만, 가장 모호하다. 독서망양... 그 행복의 필수요소다..."

186,독서망양,독서망양 정신을 빼앗기다,독서망양 정신을 빼앗기다 책을 읽다가 양을 잃어버린다는 뜻입니다. 어떤 일에 너무 집중하느라 다른 일에 소홀하게 된다는 뜻입니다. 이건... 사소한 것들은 그냥 흘려버릴 수도 있는 것입니다. 오히려 이것저것 다 집중하지 못하고 산만한 것보다는 차라리 독서망양하는 것이 더 낫겠습니다.


204,군계일학,[기업분석] KT : 군계일학의 모습 (2022.02.14),"약 920억원, ⑦(연결기준/영업이익) KT AMC 보유 리츠자산 매각에 따른 매출 '21년 연간 약 2,500억원, ⑧(연결기준/영업외손익) KT 32% 보유 리츠의 이익 증가로 지분법 이익 증가 YoY +360억원, K뱅크 연간 흑자전환으로 지분법이익 YoY +360억원 KT : 군계일학의 모습 - 최남곤 연구원"

206,군계일학,군계일학의 불편한 심리.,군계일학이라 함은 여러 마리의 닭들 중에 한 마리의 학을 뜻한다. 많은 사람들 중에 뛰어난 인물을 가리킨다. 이 성어는 내게는 좀 폭력적인 이미지다. 왜일까? 군계일학 속에는 '비교'가 숨어있다. 웬지 한마리 학만을 강조하는 듯한 늬앙스가 풍긴다. 닭 무리들을 향한 시선은 보이지 않는다....
207,군계일학,"군계일학, 낭중지추, 난세영웅 종목 찾기, 그 어려운 걸 해내야 하는 상황","군계일학, 낭중지추, 난세영웅이 될 만한 종목이 어떤 종목인지, 그런 종목이 과연 있기는 한지 계속 고민하고 또 고민하고 있습니다. 내가 아무리 좋은 종목이라고 생각해도 시장이 그것을 알아 주지 않으면 아무 소용이 없기 때문에 열린 생각으로 시장이 주목하는 종목, 시장이 주목할 만한..."

211,군계일학,브레이킹배드 뜻 결말 해석 일맥상통하는 군계일학,브레이킹배드 뜻 결말 해석 일맥상통하는 군계일학 안녕하세요. 오랫만에 돌아온 해피항준입니다. 요새 새로운 영화 대본 집필이 끝나고 출연진... 지금부터 미드 브레이킹배드이 왜 군계일학인지에 대해 왜 기네스북에 등재되었는지까지 이야기해보겠습니다. Breaking BAD 뜻 보통의 영화나 드라마의...




216,군계일학,군계일학; 닭떼 속의 두루미 한마리 강남 상가 임대,하지만 해당 매물은 군계일학이라는 사자성어가 정말 잘 어울릴만한 외관 디자인 보여주고 있는데요 강남의 이면 곳곳에는 아직도 구옥 건물들이 상당히 많은데요 신축건물답게 눈에 확 띄는 외관 디자인으로 어느 업종이 들어가시더라도 오가시는 손님분들께 강한 인상을 남겨드릴 수 있을것...

218,군계일학,"보령 신촌지 1박낚시- 수채화 풍광 아래, 잔씨알 속에서 군계일학 그 님을...","잔씨알, 잡어 속에서 황금갑옷 두른 네가 군계일학.. 이따금씩 올라오는 잔씨알 귀요미.. 늦은 오후 다시 잔잔해진 수면에 기대감 상승.. 어슴프레할 때 올라온 잔씨알.. 거울처럼 잔잔해진 수면... 어둠을 벍히는 6개의 캐미불.. 다시 5대로 줄이고... 밤낚시에도 간간히 올라오는 비슷한 잔씨알..."

220,군계일학,진주 맛집 큰길냄비우동 (진주 군계일학 맛집),진주에서 맛 집중에서 군계일학이 아닐까 합니다. 로켓 지역민들에게 유명한 집 영업시간이 특이해서 낮에는 절대 먹을 수 없는 집 술집처럼 저녁에만 먹을 수 있는 큰길냄비우동 입니다. 13년 전이나 오늘이나 맛이 똑같습니다. 늘 변하지 않고 진주에 있는 동안 맛나게 먹었으면 합니다.

222,군계일학,군계일학(群鷄一鶴) - 학립군계(鶴立群鷄),"우리나라 사자성어에는 군계일학이라고 하여 ""닭의 무리 중에 있는 한 마리 학이란 뜻으로, 많은 사람 가운데 가장 뛰어난 사람을 이르는 말""을 의미하는데, 언젠가 중국 학회에 갔는데 학회지 표지에 학립군계(鷄立群鶴)라고 쓰여 있었다. ""학이 닭 부리 속에 서 있듯이, 눈에 띄게..."
223,군계일학,군계일학,"군계일학 Collecting 군계일학(群鷄一鶴) 이라는 고사성어는 비교적 자주 사용되는 성어중의 하나이다. 닭의 무리속에 한 마리의 학이라는 뜻으로, 평범한 사람들 가운데 뛰어난 한 사람이 섞여 있다는 의미이다. 개미 채집시 여왕을 만나면 늘 이 사자성어가 떠 오르곤 한다. 만약 당신이 상대방에게..."


227,군계일학,"군계일학, 알짜배기를 영어로?","오늘은 '최고 중의 최고!' 우리가 잘 알고 있는 사자성어로는 '군계일학' 이라고 하죠! 그 뜻과 같은 영어표현을 한번 공부해볼게요~ * The cream of the crop : 가장 좋은 것, 최상의 것, 단연 최고, 알짜배기. 특정 그룹의 사람 또는 물건 중 최고라는 뜻으로 the..."

229,군계일학,조폭영화의 군계일학 달마야 놀자 정보,조폭영화 중의 군계일학이라고 해도 손색이 없다고 생각합니다. 킬링타임용으로도 좋으니 지루한 주말을 보내고 계신 분들은 꼭 한번 보실 것을 추천드립니다. 시리즈온과 웨이브에서 보실 수 있으니 아래 링크를 참고하세요. 간단 줄거리 달마야 놀자 정보 중 줄거리를 먼저 간단하게...
230,군계일학,[키다리스튜디오] 웹툰계의 군계일학,"키다리스튜디오 - 웹툰계의 군계일학 투자의견: 매수 / 목표주가 25,000원(상향) 4Q21 Preview: 매출액 353억원(+235.0% YoY) 예상 - 4분기 연결매출액 353억원(+235.0% YoY), 영업이익 36억원(+515.9% YoY) 추정 - 합병에 따른 외형성장 + 10%대 영업이익률 유지 예상 규모의 경제 시현..."
231,군계일학,"[한장의사진] 석산(토석채취장)의 건설기계들, 군계일학이라 할 수 있는 굴착기의...","220106 캐논 5D Mark2 + 70-200mm 그 중 군계일학이라고 할 수 있는 굴착기 앞에 서니, 그 웅장한 모습에 한없이 작아진다. 220106 캐논 5D Mark2 + 70-200mm 220106 캐논 5D Mark2 + 16-35mm, F2.8, 16mm 220106 캐논 5D Mark2 + 16-35mm #토석채취장, #굴착기집토, #덤프트럭상차, #건설기계..."
232,군계일학,군계일학 하양만두맛집 여기가 찐,"군계일학이라는 말이 수많은 닭 무리 중에서 학이 한마리가 있다는 말인데요, 그러니 얼마나 눈에 잘 띄고 특별할까 싶어요. 맛집들 중에서도 그런 곳이 있던데요, 특히 하양만두맛집 여기는 그야말로 군계일학이라는 말이 떠오르는 곳이에요. 대구에서 경주에 오다보면 하양을 거쳐서 오는데요..."


235,군계일학,"""수많은 평범한 사람들 중에 눈에 띄게 뛰어난 한사람""을 일껃는 고사성어 ""군계일학...","군계일학 (群 무리 군, 鷄 닭 계, 一 일 일, 鶴 학 학) 군계일학이란, ""닭의 무리들 중에 있는 한마리의 학""이란 뜻입니다. ""학""은 옛날부터 고귀하고 장수를 상징하는 신비로운 동물로 여겨져 왔는데요. 닭들 중에 끼여 있는 고귀한 한마리 학을 말하는 군계일학의 속뜻은 ""수많은 평범한 사람들 가운데..."
236,군계일학,대구 할매국밥집들중 군계일학을 보여주는곳... 본점은 없어졌지만 맛집은 남아있다......,군계일학 성서맛집 성서할매국밥 https://youtu.be/8XtTYHuaXKo 상호명 : 진배기할매국밥 성서점 주소 : 대구 달서구 달구벌대로 1225 영업시간 : 24시간 연락처 : ***-***-**** 대구 달서구 이곡동 성서산업단지역 도보3분정도 거리 성서쇼핑월드 끝자락에 위치한 성서할매국밥 입니다. '군계일학' 이라는...

243,군계일학,병점 동탄 어머니한복 욕심없이 툭 걸쳐도 입는 순간 군계일학(群鷄一鶴) !!!,순간 군계일학^^ 내가 가장 빛나는 날 저절로 어깨가 으쓱해지는 느낌 남들보다 내가 먼저 알게 되죠ㅎㅎ 내 결혼식에 우리 어머니가 그렇게 가장 빛나는 모습이셨으면 싶으신 병점 동탄의 신랑신부님이시라면 지금부터 저랑 어머니한복 욕심 없이 툭 걸쳐도 입는 순간 군계일학!이라는 소문의...
244,군계일학,닭 무리 속에 끼여 있는 한 마리의 학이라는 고사성어 군계일학(群鷄一鶴),닭 무리 속에 끼여 있는 한 마리의 학이라는 고사성어 군계일학(群鷄一鶴) 흰꽃창포 중국 진서(晉書) 혜소전(蕙紹傳)에 위진(魏晉)시대 죽림칠현... 고사성어가 군계일학(群鷄一鶴)이다. 군계일학(群鷄一鶴)이란 닭의 무리 속에 있는 한 마리의 학이라는 뜻으로 많은 평범한 사람 중에서 가장 뛰어난...
245,군계일학,"고사성어 ""군계일학""","고사성어 ""군계일학"" 수많은 사람들 가운데서 뛰어나게 우수한 사람을 말한다. 죽림칠현중 위나라 혜강의 아들 혜소를 처음본 사람이 그의 드높은 혈기와 기개는 마치 닭의 무리 속에 있는 한 마리 학 같더라고 해서 전해진 얘기라고 한다."
246,군계일학,군계일학(群鷄一鶴),"따라서 ‘군계일학’이라함은 ‘닭의 무리 가운데 한마리의 학’을 의미한다. 이는 여러 사람 가운데 뛰어난 한 사람을 지칭한다. 이번 20대 대통령선거에서 후보가 10여명 난립했으나, 정작 당선된 사람만이 군계일학의 칭호를 듣게 되었다. 윤석열 당선자가 학(鶴)이 되었으면, 앞으로 5년 임기동안..."
247,군계일학,"[PCA퍼스트] 보디빌딩 일반부, 체급별 군계일학은?",사진=권성운 기자 [개근질닷컴] 올해 첫 보디빌딩 대회 남자 보디빌딩 일반부 종목 참가자들이 혈투를 펼친 가운데 체급별 군계일학(群鷄一鶴)이 탄생했다. ‘2021 PCA 퍼스트타이머’가 3월 6일 대전 믹스페이스에서 화려한 막을 올렸다. ▲ PCA 퍼스트타이머 남자 보디빌딩 일반부. 사진=권성운...
248,군계일학,군계일학(群鷄一鶴),"끼어서 입궐하는 혜소를 보았는데, 마치 닭의 무리 속에 우뚝 선 한 마리의 학과 같았습니다."" 그러자 왕윤은 이렇게 말했다. ""혜소의 아버지는 혜소보다 훨씬 더 늠름 했었다네."" [풀이] 여럿 중에서 독보적으로 뛰어나다. (群 : 무리 군, 鷄 : 닭 계, 一 : 한 일, 鶴 : 학 학) #고사성어 #사자성어 #군계일학"
249,군계일학,群鷄一鶴(군계일학),이를 정리하면 군계일학이란 닭의 무리 가운데 한 마리의 학이라는 뜻으로 평범한 사람들 가운데 뛰어난 재능을 가진 인물이 있을때 이르는 말이다. 군계일학의 유래 죽림7현의 한 사람인 ‘혜강’은 재능이 뛰어났다. 그는 세상에 나오기를 거부하다가 끝내 미움을 사 죽임을 당한다. 그에게는...


252,군계일학,임영웅 뽕숭아학당 (군계일학의 품위),"군계일학 많은 출연자들 속에서도, 그렇게 많지도 않은 분량속에서도 임영웅은 군계일학처럼 돋보이고 빛났다. 미스터트롯 진으로서,뽕숭아학당의 간판으로서 분량에 대한 욕심으로 오버할수도 있었을거 같은데 항상 평정심을 유지하면서도 생각지도 못한 포인트에서 툭툭 웃음을 던져주는..."
253,군계일학,"사실상 군계일학 이재명의 행정, 할많하않 요즘 이슈","사실상 군계일학인 이재명 경기도지사의 영상이다. 지난 대선에서 주변과 야욕에 흔들리며 큰 실수를 저질렀지만, 다행히 제 궤도로 다시 올라타며... 이재명이 행정가로서 군계일학인 이유다. 공익을 위해서 적절한 기준 하에서 부여된 행정력을 사용할 줄 알고, 말만 아니라 결과로 보여주기..."
254,군계일학,신천지 새언약이행 시험 역시 군계일학,신천지 새언약이행 시험 역시 군계일학 고사성어에 군계일학(群鷄一鶴)이라는 말이 있습니다. 그 의미를 알아보면 닭 무리 속의 한 마리 학이라는 의미인데 수 많은 무리 가운데 단연 빼어난 존재를 가리킬 때 쓰는 표현입니다. 세상에는 참 많은 종교가 있고 종교에 따른 교단과 교파가 있습니다....

256,군계일학,"롱패딩 점퍼 열풍 속 군계일학, 코트","코트를 제외한 다른 아이템의 컬러는 블랙으로 통일하는 것이 무난하다. 고수라면 웜톤 혹은 쿨톤처럼 비슷한 계열끼리의 미묘한 조합을 즐겨보길. 칙칙한 패딩 점퍼들 사이에서 당신이 곧 군계일학일 테다. ⓒ harpersbazaar.com, Pinterest 글 | 디자인프레스 객원 에디터 디렉터 박"





